AÑO,MES,NUMERO_INTERMEDIARIO,NUMERO_DE_GARANTIAS,TOTAL_MONTO_GARANTIZADO,PROMEDIO_MONTO_GARANTIZADO,PROMEDIO_COMISION,GANANCIA_AÑO_MES,MONTO_MAXIMO_GARANTIZADO,MONTO_MINIMO_GARANTIZADO
2002,12,1,600,143693809.55,239490,0.0,0,1000000.0,15502.0
2003,6,1,35,8993932.0,256969,0.0,0,800000.0,7288.0
2003,7,1,35,8540382.08,244011,0.0,0,1000000.0,12050.2
2003,8,1,37,10228393.35,276443,0.0,0,2291605.0,11521.48
2003,9,1,23,7631681.88,331812,0.0,0,2000000.0,13453.14
2003,10,1,78,51218432.43,656647,0.0,0,7390494.17,2750.88
2003,11,1,9,2853937.7,317104,0.0,0,950352.0,50000.0
2003,12,1,15,24005658.88,1600377,0.0,0,8606750.0,67500.0
2004,12,1,63,39923649.22,633709,0.0,0,3000000.0,1835.9
2004,11,1,35,19544938.94,558427,0.0,0,3332000.0,22371.96
2004,10,1,31,14124316.71,455623,0.0,0,3000000.0,50360.08
2004,9,1,36,26760823.48,743356,0.0,0,2300000.0,84135.15
2004,8,1,38,29493829.21,776153,0.0,0,5000000.0,35050.57
2004,5,1,12,7402329.54,616861,0.0,0,3750671.36,63000.0
2004,6,1,5,4606249.72,921250,0.0,0,2412064.37,66360.0
2004,3,1,20,19367677.58,968384,0.0,0,5000000.0,50000.0
2004,2,1,26,22797547.89,876829,0.0,0,6400000.0,50000.0
2004,1,1,10,5926130.78,592613,0.0,0,1368528.0,72000.0
2004,7,1,56,24160826.44,431443,0.0,0,3428936.69,52133.0
2005,8,1,54,44969106.07,832761,0.0,0,10000000.0,141.5
2005,12,1,39,32696395.05,838369,0.0,0,3199431.3,19444.5
2005,10,2,3172,27573656.669999998,8693,0.0,0,6524306.0,0.02
2005,9,1,32,21883810.1,683869,0.0,0,3200000.0,7290.51
2005,7,1,74,94417418.7,1275911,0.0,0,3200000.0,13805.02
2005,11,1,35,25419195.240000002,726263,0.0,0,4500000.0,24933.78
2005,5,1,26,23269458.64,894979,0.0,0,5628750.34,17761.26
2005,4,1,63,24205842.06,384220,0.0,0,3180000.0,11077.65
2005,3,1,36,18540781.13,515022,0.0,0,3158366.18,15921.8
2005,2,1,45,21635419.2,480787,0.0,0,4200000.0,10123.56
2005,6,1,25,30148857.27,1205954,0.0,0,3181244.0,91885.09
2005,1,1,33,47573414.78,1441619,0.0,0,30000000.0,7030.46
2006,11,2,526,119958533.04,228058,0.9173,2116427,9000000.0,0.03
2006,10,1,75,106823154.25,1424309,0.0,0,3300000.0,64900.96
2006,9,2,2571,145232709.12,56489,0.0,0,26536422.09,0.03
2006,8,1,45,115724658.31,2571659,0.0,0,55442702.23,30621.72
2006,7,1,28,25787165.36,920970,0.0,0,3367091.29,43149.22
2006,12,2,2548,83684259.37,32843,2.4529,28872843,8725706.51,0.5
2006,5,2,56,24673023.06,440590,0.0,0,3200000.0,0.02
2006,4,2,4088,19119007.91,4677,0.0,0,3174773.71,0.03
2006,3,2,1746,139345665.3,79809,2.3196,18239116,7432698.05,0.5
2006,2,2,1665,41982009.97,25214,0.0,0,17396167.2,0.02
2006,1,2,1625,20929827.69,12880,0.0,0,3100000.0,0.02
2006,6,1,46,77248119.75,1679307,0.0,0,30000000.0,34374.66
2007,12,1,88,61544057.769999996,699364,0.0,0,6498624.17,318.49
2007,11,3,98,57843024.37,590235,0.7143,578740,3400000.0,0.5
2007,10,2,697,69854829.63,100222,2.2382,7285626,5958333.33,0.5
2007,9,2,1108,76384069.65,68939,0.6656,2772105,5160000.0,0.01
2007,8,2,1202,41745266.29,34730,0.0,0,6298642.23,0.01
2007,7,2,1414,89058287.96,62983,0.0,0,60000000.0,0.01
2007,6,2,1304,61695417.83,47312,0.0,0,7600000.0,0.01
2007,4,2,1231,54334561.33,44139,2.4411,12050344,4436532.77,0.5
2007,3,2,1221,86288909.9,70671,2.4038,12439554,10000000.0,0.5
2007,2,2,500,38893743.62,77787,2.325,5104910,3202683.29,0.5
2007,1,2,918,126353279.3,137640,2.146,8850342,10000000.0,0.5
2007,5,2,1193,70031881.44,58702,0.0,0,9924505.89,0.01
2008,8,2,230,56089002.339999996,243865,0.0,0,6324985.14,0.03
2008,11,5,805,2651443644.38,3293719,0.0304,1300000,400000000.0,0.03
2008,10,7,182,635609591.15,3492360,0.1923,711205,250000000.0,0.03
2008,9,3,652,28186583.73,43231,0.0997,324288,3400000.0,0.03
2008,7,2,65,41094714.49,632226,0.0308,30000,5041666.67,7000.0
2008,12,8,867,2448858243.98,2824519,0.0519,895450,700000000.0,0.03
2008,5,1,75,40586397.71,541152,0.0,0,3000000.0,50000.0
2008,1,3,3980,49296670.99,12386,0.6124,11656971,4900000.0,0.03
2008,2,3,251,11681074.77,46538,2.4283,2955131,3000000.0,0.5
2008,6,1,72,49461632.73,686967,0.0,0,10000000.0,50000.0
2008,4,2,74,49213065.6,665041,0.0338,312500,8750000.0,55000.0
2008,3,3,158,90008046.69,569671,0.0316,87500,3199886.28,0.03
2009,11,11,17807,252718353.65,14192,0.0391,3734804,139389500.0,0.07
2009,10,9,28426,686704015.72,24158,0.0096,2887667,226350000.0,0.09
2009,9,7,18218,817912483.98,44896,0.0288,4905227,300000000.0,0.09
2009,8,11,12634,986018560.51,78045,0.0043,449700,242320000.0,0.06
2009,7,10,9767,1252447707.78,128233,0.0011,110573,242320000.0,0.05
2009,12,10,19297,765432830.11,39666,0.0406,4918555,139389500.0,0.06
2009,5,5,4291,529925545.09,123497,0.0014,4489,242320000.0,1000.0
2009,4,4,797,1548963929.17,1943493,0.0025,3386,242320000.0,1000.0
2009,3,5,2055,1983218032.26,965070,0.0737,2163565,242320000.0,0.07
2009,2,4,97,1085042952.25,11186010,0.0258,71250,227392000.0,0.08
2009,1,4,806,1743422474.35,2163055,0.0316,929695,392916000.0,0.07
2009,6,9,5319,1182216714.63,222263,0.0011,57420,242320000.0,0.05
2010,12,20,27952,336545796.83,12040,0.2388,17522284,175000000.0,0.0
2010,11,14,25102,167116784.0,6658,0.0654,12964617,2000000.0,0.05
2010,10,13,27252,46644718.68,1712,0.0411,8622167,1125000.0,0.05
2010,9,12,73421,50617728.02,689,0.0012,549967,1300000.0,0.05
2010,8,12,51136,42936802.97,840,0.0157,5035446,2000000.0,0.05
2010,7,11,39116,46810930.52,1197,0.0418,9250092,8500000.0,0.05
2010,6,11,49966,34525894.35,691,0.0081,741463,2000000.0,0.06
